FunctionID_f,AvgServiceTimeMillisec,Invocations30Days
1,13,1071496
2,1,223821
3,1377,1
4,4753,288
5,536,4281
6,3970,12
7,5390,126
8,117,41
9,102,34
10,1,1
11,1018,6
12,1031,1
13,225,57
14,17,1
15,172,288
16,24738,6
17,2454,7
18,1089,12
19,1048,1
20,115,1327
21,11987,2
22,2012,1
23,1011,12
24,7,2
25,15,1
26,103,13
27,138,17
28,371,2880
29,147,4
30,5782,2
31,10603,1
32,1459,2
33,33,154
34,1039,2
35,101,36
36,2423,105
37,265,1
38,10,681
39,800,288
40,1,7199
41,733,14
42,206,285
43,113,288
44,30607,118
45,22973,1
46,50,321
47,1810,1
48,18,1
49,39894,3
50,1137,16
51,24537,1
52,178,32
53,279931,1
54,91756,1
55,1930,1
56,16420,1438
57,1129,235
58,124,1
59,134,1440
60,101,2
61,1062,1
62,1551,1
63,2210,654
64,1705,1440
65,25213,3712
66,60822,2
67,1167,72
68,12,12641
69,361,288
70,1,42842
71,1099,25
72,1030,1875
73,14212,46
74,4515,1
75,115,288
76,238,97
77,396,480
78,10,288
79,16,1
80,764,1
81,2857,288
82,2281,720
83,4280,177
84,4,288
85,563,1
86,109,1
87,1034,1
88,1133,1
89,12,288
90,1446,72
91,14,2
92,10415,1
93,1267,15
94,1009,40
95,5615,1
96,223,14311
97,1995,289
98,2447,1
99,206,1
100,155,19555
101,202,106
102,16,24
103,187,1
104,49,31020
105,5205,461
106,15,1
107,241235,288
108,221,87
109,133247,6
110,210,23
111,1203,1
112,11,1
113,40533,13
114,1,720
115,1417,1
116,10715,3
117,10,3
118,228,288
119,168,288
120,119,4100
121,108,1442
122,114776,17
123,128,3
124,7751,24
125,2303,1440
126,11087,2
127,1,1
128,1066,1
129,161,1
130,26,67354
131,6142,1
132,1,1434
133,1,1
134,248,234559
135,1,2873
136,163,2
137,10,1440
138,19,3515
139,187503,288
140,117,21
141,28,86403
142,1533,54
143,1001,2
144,114,288
145,138,1
146,6441,289
147,1454,36
148,1,12
149,15519,43
150,117,715
151,28598,1
152,420,24
153,110,1
154,519,320
155,13284,24
156,1276,8
157,146559,2
158,84,1
159,10196,41
160,1348,4
161,498,1
162,515,17203
163,1,1
164,165,720
165,5811,179
166,431,13
167,1295,1
168,5,5237
169,622,1
170,1160,6
171,13690,1
172,3950,720
173,1,1440
174,127,96
175,2249,103
176,21094,1
177,1643,1
178,674,4319
179,1331,56
180,37,3
181,1291,7
182,15,1
183,103,2
184,2,60
185,1038,144
186,1909,1
187,2533,24
188,1277,15
189,146,361
190,2269,24
191,1791,4
192,47489,33
193,7891,1
194,170602,6
195,20,44645
196,252,8028
197,12249,2
198,3742,720
199,139,480
200,262179,8
201,1217,6
202,651,6
203,522,1440
204,6430,1
205,26567,144
206,1126,1
207,1071,526
208,365,2
209,1335,1
210,1263,1
211,1287,288
212,59354,1
213,639,24
214,12,1
215,1,286
216,250,2
217,1,138946
218,1,1440
219,461,5917
220,1,1
221,1232,1
222,1429,96
223,109,24
224,475,6
225,1042,5
226,31,1
227,1160,96
228,261,1
229,1280,1429
230,175,260
231,2945,12577
232,19,1
233,109,86
234,186,95
235,4347,2
236,41,7022
237,156,288
238,126,4215
239,1012,2
240,28887,24
241,2584,341
242,297,4
243,15052,2
244,2334,95
245,27,1
246,1261,1
247,24,7634
248,1,330
249,1268,58
250,1,1
251,1168,1
252,12,135
253,1,50
254,159,16
255,523,288
256,335,16
257,12996,24
258,2926,9
259,1488,47
260,1101,10050
261,1168,637
262,1017,5
263,103538,1
264,1358,1446
265,263,8549
266,2118,1440
267,37,288
268,1039,1
269,133,1
270,12,1
271,106529,10
272,1669,2
273,15,1
274,880,10
275,10722,24
276,377,288
277,34,202
278,1,1
279,1185,7
280,1363,1
281,19,1
282,877,1
283,6152,1
284,4025,5
285,133,12
286,1106,1557
287,93,288
288,3274,295
289,1480,1
290,15,1
291,130,96
292,100,1
293,1017,93
294,7205,24
295,537032,1
296,54,20
297,153,1660
298,30,40236
299,704,1
300,5775,1
301,1,1
302,18,1
303,172,1440
304,4,48
305,1130,8897
306,15,1730
307,5650,96
308,10052,137
309,129,5760
310,31,1
311,180563,42
312,986,2880
313,557,24
314,32,5760
315,152315,24
316,15,2
317,2,2400
318,2998,1
319,15662,495
320,753,2880
321,109,1
322,126,1
323,1691,1
324,1016,1
325,1293,96
326,102,5760
327,21,1440
328,4781,8
329,105879,2
330,46964,4
331,20,3
332,15,2
333,1885,1
334,45890,2
335,631,24
336,3384,16
337,114210,4
338,140306,1
339,26051,1
340,1375,1
